driv_age_band,veh_age_band,rows,exposure,observed_claims,glm_pred_claims,tabm_mini_pred_claims,observed_frequency,glm_frequency,tabm_mini_frequency,tabm_minus_glm_frequency,tabm_to_glm_ratio,tabm_minus_glm_claims_per_1000_exposure
18-24,0,188,46.694618225097656,5.0,6.3498101234436035,4.751953601837158,0.10707872106153285,0.13598590940038302,0.10176662284569347,-0.03421928655468954,0.7483615272672276,-34.21928655468954
18-24,1-2,349,151.33013916015625,19.0,21.39570426940918,19.058631896972656,0.12555331083051377,0.14138428992499374,0.12594075445078695,-0.015443535474206791,0.8907690841577958,-15.443535474206792
18-24,11+,1112,471.939453125,79.0,66.08576965332031,77.58415222167969,0.16739435424797108,0.14003018653288252,0.1643942919117008,0.02436410537881829,1.1739918083526726,24.36410537881829
18-24,3-5,442,188.7337646484375,30.0,29.31844711303711,29.95277976989746,0.15895406980241342,0.1553428829634689,0.15870387487735324,0.003360991913884356,1.021635956857288,3.360991913884356
18-24,6-10,937,404.6175537109375,79.0,69.34952545166016,77.2696533203125,0.19524610159755532,0.171395246735153,0.19096960231121027,0.019574355576057276,1.1142059418153198,19.574355576057275
25-29,0,401,105.2973861694336,5.0,9.541474342346191,8.478500366210938,0.04748455951180517,0.09061454124789996,0.08051957104204104,-0.010094970205858927,0.8885943683338696,-10.094970205858926
25-29,1-2,1003,406.45751953125,25.0,39.30339813232422,35.736236572265625,0.0615070426765174,0.09669743145028081,0.08792120911793855,-0.008776222332342253,0.909240377942668,-8.776222332342254
25-29,11+,1478,677.4385375976562,56.0,58.808860778808594,61.32114028930664,0.08266432582738521,0.08681062194565657,0.09051912001753647,0.0037084980718798993,1.0427194044779615,3.7084980718798994
25-29,3-5,1192,545.7911987304688,54.0,51.91969680786133,50.22535705566406,0.09893893511952202,0.09512739840552309,0.09202302487194768,-0.0031043735335754127,0.9673661470237876,-3.1043735335754126
25-29,6-10,1749,816.5639038085938,77.0,85.39912414550781,87.76011657714844,0.09429757994549946,0.10458351605696956,0.10747489102545464,0.002891374968485078,1.027646564941554,2.891374968485078
30-39,0,1227,351.27850341796875,22.0,23.892547607421875,24.369335174560547,0.0626283697577227,0.06801596845507317,0.06937326063919343,0.0013572921841202624,1.0199554930253887,1.3572921841202625
30-39,1-2,2996,1320.33984375,95.0,90.87704467773438,90.87489318847656,0.0719511726088513,0.06882852555568376,0.06882689605910529,-1.6294965784732268e-06,0.9999763252726204,-0.0016294965784732268
30-39,11+,4847,2571.353271484375,158.0,168.8311767578125,170.9713134765625,0.06144624379395008,0.06565849143721535,0.06649079120033367,0.0008322997631183346,1.0126761938159088,0.8322997631183345
30-39,3-5,3375,1667.8662109375,127.0,117.36839294433594,117.40780639648438,0.07614519627963078,0.07037038832890781,0.07039401939229285,2.3631063385044163e-05,1.0003358097624044,0.023631063385044164
30-39,6-10,4537,2411.6162109375,197.0,181.25674438476562,185.1454315185547,0.08168795644453623,0.07515986315015823,0.0767723449025003,0.001612481752342078,1.0214540272528247,1.612481752342078
40-49,0,1379,402.0303955078125,19.0,29.27965545654297,29.187456130981445,0.04726010822142124,0.07282945713484987,0.07260012291885094,-0.00022933421599892877,0.9968510788763083,-0.22933421599892878
40-49,1-2,3095,1484.76220703125,101.0,110.26725769042969,111.04435729980469,0.06802436075063314,0.0742659377833348,0.07478932099291205,0.0005233832095772386,1.0070474193849699,0.5233832095772386
40-49,11+,4760,2770.80517578125,154.0,196.85934448242188,202.17056274414062,0.055579512174318974,0.071047703462917,0.0729645535930317,0.0019168501301146917,1.0269797620005434,1.9168501301146916
40-49,3-5,3136,1726.726806640625,139.0,127.16464233398438,127.14535522460938,0.08049912670923709,0.07364491119552678,0.07363374144400568,-1.1169751521101004e-05,0.9998483296219688,-0.011169751521101003
40-49,6-10,4054,2353.1806640625,182.0,192.66909790039062,192.2779541015625,0.07734212794601057,0.08187603308271675,0.0817098138863747,-0.000166219196342052,0.9979698674925527,-0.166219196342052
50-59,0,1351,410.1004333496094,29.0,27.01660919189453,28.51609230041504,0.07071438516446918,0.06587803131839891,0.06953441152817597,0.0036563802097770597,1.0555022689142788,3.6563802097770597
50-59,1-2,3017,1510.844970703125,102.0,103.30777740478516,104.8079833984375,0.06751189035135134,0.06837748373131046,0.06937044199158396,0.000992958260273501,1.0145217139632592,0.9929582602735011
50-59,11+,3686,2325.1142578125,149.0,148.22476196289062,149.4236602783203,0.06408287227148196,0.06374945294187072,0.06426508279163029,0.0005156298497595674,1.0080883807776317,0.5156298497595674
50-59,3-5,2930,1679.746826171875,133.0,117.75796508789062,118.19500732421875,0.07917859877914196,0.07010459150934059,0.0703647749069328,0.00026018339759220714,1.0037113602973857,0.26018339759220716
50-59,6-10,3328,2089.192138671875,166.0,156.3351287841797,154.8469696044922,0.07945655017902194,0.07483042171677128,0.07411810849667963,-0.0007123132200916384,0.9904809674494726,-0.7123132200916383
60-69,0,736,223.5740203857422,15.0,13.817560195922852,15.124972343444824,0.06709187397587535,0.06180306715459516,0.06765084922366668,0.005847782069071516,1.0946196093220386,5.847782069071515
60-69,1-2,1602,838.7150268554688,58.0,52.32795715332031,54.86322021484375,0.06915340508140774,0.06239062789838116,0.06541342226875116,0.003022794370370004,1.0484494942941331,3.0227943703700038
60-69,11+,1577,1081.09375,75.0,62.41374969482422,63.958892822265625,0.06937418702124584,0.05773204192034615,0.05916128256431565,0.0014292406439695043,1.0247564540665555,1.4292406439695042
