driv_age_band,rows,exposure,observed_claims,glm_pred_claims,tabm_mini_pred_claims,observed_frequency,glm_frequency,tabm_mini_frequency,tabm_minus_glm_frequency,tabm_to_glm_ratio,tabm_minus_glm_claims_per_1000_exposure
18-24,3028,1263.3154296875,212.0,192.49923706054688,208.61715698242188,0.16781240458089028,0.15237622571281698,0.16513465448136452,0.012758428768547542,1.0837297859876993,12.758428768547542
25-29,5823,2551.54833984375,217.0,244.9725341796875,243.52134704589844,0.08504639971402168,0.09600936433549559,0.09544061668093305,-0.0005687476545625349,0.994076123110501,-0.5687476545625348
30-39,16982,8322.4541015625,599.0,582.225830078125,588.768798828125,0.07197396257043229,0.06995843088744881,0.07074461350499807,0.0007861826175492622,1.0112378537879745,0.7861826175492622
40-49,16424,8737.5048828125,595.0,656.239990234375,661.82568359375,0.06809724377612897,0.07510610855568862,0.07574538640838116,0.0006392778526925448,1.0085116625662818,0.6392778526925448
50-59,14312,8014.9990234375,579.0,552.6422729492188,555.7897338867188,0.07223955964397318,0.06895100939291189,0.069343705752362,0.00039269635945009837,1.0056952952960028,0.3926963594500984
60-69,6813,4066.315673828125,271.0,255.15225219726562,262.8158264160156,0.06664509638152963,0.06274777284004104,0.06463242096710968,0.0018846481270686326,1.0300352991312225,1.8846481270686324
70+,4419,3010.444091796875,172.0,175.9937744140625,181.34274291992188,0.05713442759780221,0.05846106722048948,0.06023787102177405,0.0017768038012845743,1.03039294158937,1.7768038012845742
