config_name,model,rows,exposure,observed_claims,predicted_claims,observed_frequency,predicted_frequency,test_poisson_deviance,deviance_lift_vs_glm,per_policy_loglik_lift_vs_glm
glm,GLM,67801,35966.58203125,2645.0,2659.725830078125,0.0735404881593102,0.07394991906006498,0.24143968402765772,0.0,0.0
tabm_mini_small,TabM-mini,67801,35966.58203125,2645.0,2702.681396484375,0.0735404881593102,0.07514423789661519,0.23973673555577774,0.0017029484718799892,0.0008514742359399946
