driv_age_band,bonus_malus_band,rows,exposure,observed_claims,glm_pred_claims,tabm_mini_pred_claims,observed_frequency,glm_frequency,tabm_mini_frequency,tabm_minus_glm_frequency,tabm_to_glm_ratio,tabm_minus_glm_claims_per_1000_exposure
18-24,101+,236,111.63644409179688,46.0,20.637998580932617,24.50356674194336,0.41205182030139664,0.18486793223154185,0.2194943321716201,0.03462639994007823,1.1873034415547508,34.62639994007823
18-24,51-75,187,106.1091537475586,5.0,10.032794952392578,6.991840362548828,0.04712128806432067,0.09455164420839061,0.06589290476468153,-0.028658739443709093,0.6968985607426815,-28.65873944370909
18-24,76-100,2516,998.1099853515625,156.0,159.79605102539062,175.7015380859375,0.156295400596611,0.16009863979980718,0.1760342453883481,0.01593560558854094,1.0995361710034974,15.93560558854094
18-24,<=50,89,47.459999084472656,5.0,2.032397508621216,1.4202123880386353,0.10535187729567055,0.04282337858885777,0.02992440824768751,-0.012898970341170261,0.6987867196324755,-12.898970341170262
25-29,101+,187,82.01094818115234,31.0,13.501352310180664,14.91836166381836,0.37799831226831715,0.16462865763187856,0.1819069526042485,0.01727829497236993,1.104953142550706,17.278294972369928
25-29,51-75,2661,1295.857666015625,58.0,97.40037536621094,83.49909210205078,0.0447580019944109,0.07516286542926275,0.06443538846267394,-0.010727476966588814,0.8572769025592212,-10.727476966588814
25-29,76-100,2808,1071.3443603515625,122.0,130.76806640625,141.8506622314453,0.11387561694912512,0.12205978884635968,0.13240435800203113,0.010344569155671432,1.084750016802769,10.344569155671431
25-29,<=50,167,102.33547973632812,6.0,3.3027563095092773,3.253232479095459,0.058630692067494716,0.032273814692802286,0.03178987861763639,-0.0004839360751659023,0.9850053029128338,-0.4839360751659023
30-39,101+,167,82.48274230957031,28.0,13.453948974609375,13.491039276123047,0.3394649500729708,0.16311228989107385,0.1635619633679142,0.0004496734768403591,1.0027568338176152,0.44967347684035913
30-39,51-75,7785,3624.09521484375,283.0,282.50299072265625,270.22235107421875,0.07808845607611921,0.07795131583893447,0.07456270739450459,-0.0033886084444298935,0.9565291694186209,-3.3886084444298934
30-39,76-100,3232,1305.0242919921875,147.0,156.2442626953125,162.3055419921875,0.11264158138818768,0.11972517573354707,0.12436974774195171,0.004644572008404642,1.0387936119529388,4.644572008404642
30-39,<=50,5798,3310.85205078125,141.0,130.02467346191406,142.7498779296875,0.04258722462899806,0.039272269333579135,0.04311575260392663,0.0038434832703474974,1.0978676133457148,3.8434832703474973
40-49,101+,75,36.83546829223633,14.0,8.791086196899414,7.281346321105957,0.3800684679486137,0.23865819017569753,0.19767215291900114,-0.040986037256696396,0.82826469426202,-40.9860372566964
40-49,51-75,3458,1668.8359375,180.0,192.41424560546875,194.85247802734375,0.10785961397119062,0.11529847918646512,0.1167595170075511,0.0014610378210859927,1.0126717874458964,1.4610378210859927
40-49,76-100,1270,535.9049072265625,61.0,97.97866821289062,87.0838623046875,0.11382616426427172,0.18282845872778797,0.16249872156492753,-0.02032973716286044,0.8888043070300711,-20.329737162860443
40-49,<=50,11621,6495.92919921875,340.0,357.05596923828125,372.6080017089844,0.052340471943704524,0.05496611158896614,0.05736023135132031,0.0023941197623541725,1.0435562875587285,2.3941197623541726
50-59,101+,55,28.5,11.0,6.8824143409729,6.114760398864746,0.38596491228070173,0.2414882224902772,0.2145529964513946,-0.02693522603888261,0.8884615333985197,-26.935226038882607
50-59,51-75,2084,1063.9312744140625,153.0,124.37654113769531,135.98135375976562,0.14380628117569105,0.11690279638240078,0.12781027969560765,0.010907483313206876,1.0933038699735411,10.907483313206876
50-59,76-100,792,357.1820373535156,73.0,66.79070281982422,64.300048828125,0.20437757884153993,0.18699345385534916,0.18002038765595868,-0.006973066199390455,0.9627095705457981,-6.9730661993904555
50-59,<=50,11381,6565.3857421875,342.0,354.59259033203125,349.3935546875,0.05209137946037122,0.05400940694977134,0.05321752116442844,-0.0007918857853429035,0.9853380025801921,-0.7918857853429035
60-69,101+,43,27.038219451904297,15.0,6.756247043609619,7.0240092277526855,0.5547702586955501,0.24987766134629025,0.2597807610906859,0.00990309974439563,1.039631792978371,9.90309974439563
60-69,51-75,875,472.769287109375,55.0,53.65626525878906,65.80403137207031,0.11633581431713387,0.113493551129043,0.13918846500036405,0.025694913871321064,1.2263997699931493,25.694913871321063
60-69,76-100,284,139.16917419433594,24.0,23.391277313232422,26.411447525024414,0.17245198255244643,0.16807800612920806,0.18977943699043187,0.021701430861223794,1.129115232629194,21.701430861223795
60-69,<=50,5611,3427.339111328125,177.0,171.34844970703125,163.5763397216797,0.05164356203183259,0.04999460051696845,0.047726920041563196,-0.002267680475405248,0.9546414922420355,-2.267680475405248
70+,101+,13,8.630000114440918,7.0,1.949446439743042,2.3869004249572754,0.8111239753388445,0.22589182084493334,0.27658173734704605,0.05068991650211273,1.224399078782536,50.68991650211272
70+,51-75,481,304.77545166015625,47.0,33.4444580078125,45.11366271972656,0.15421189516407624,0.10973475004510917,0.14802262608089292,0.03828787603578374,1.348912956197053,38.28787603578374
70+,76-100,144,76.9227294921875,12.0,12.969528198242188,16.9464111328125,0.15600070459302612,0.16860462809707513,0.22030433975348765,0.05169971165641251,1.3066328145313193,51.69971165641251
70+,<=50,3781,2620.115966796875,106.0,127.63034057617188,116.89576721191406,0.04045622458825223,0.048711714364384255,0.04461473029944572,-0.004096984064938532,0.9158932482997548,-4.096984064938532
