config_name,model_type,threshold,rep,seed,n_train,exposure_train,claims_train,base_rate,params,train_poisson_deviance,test_poisson_deviance,epochs_trained
ffn_small,ffn,0.05,1,1,30489,16214.251953125,1198.0,0.0738856163986712,1317,0.2393067431060564,0.2458549051165682,30
ffn_small,ffn,0.05,2,2,30489,16214.251953125,1198.0,0.0738856163986712,1317,0.2427457992603765,0.2460482643637855,30
ffn_small,ffn,0.05,3,3,30489,16214.251953125,1198.0,0.0738856163986712,1317,0.2431910393886909,0.2477069710616679,30
glm,glm,0.05,1,1,30489,16214.251953125,1198.0,0.0738856163986712,110,0.2431115678011802,0.2448384151723854,30
glm,glm,0.05,2,2,30489,16214.251953125,1198.0,0.0738856163986712,110,0.2475372052024841,0.2469151368463397,26
glm,glm,0.05,3,3,30489,16214.251953125,1198.0,0.0738856163986712,110,0.2440073828767237,0.2452224404855428,30
tabm_mini_small,tabm_mini,0.05,1,1,30489,16214.251953125,1198.0,0.0738856163986712,14376,0.2439682048297458,0.2448935252624639,27
tabm_mini_small,tabm_mini,0.05,2,2,30489,16214.251953125,1198.0,0.0738856163986712,14376,0.2467051622297634,0.2451517604259145,25
tabm_mini_small,tabm_mini,0.05,3,3,30489,16214.251953125,1198.0,0.0738856163986712,14376,0.2436894694641893,0.244093616229823,27
transformer_multicls_small,transformer_multicls,0.05,1,1,30489,16214.251953125,1198.0,0.0738856163986712,14169,0.2433599949010288,0.2455044882796958,24
transformer_multicls_small,transformer_multicls,0.05,2,2,30489,16214.251953125,1198.0,0.0738856163986712,14169,0.2491301042600253,0.2469780689784194,22
transformer_multicls_small,transformer_multicls,0.05,3,3,30489,16214.251953125,1198.0,0.0738856163986712,14169,0.2428928463794127,0.2457129492368275,28
transformer_multicls_ssl_small,transformer_multicls_ssl,0.05,1,1,30489,16214.251953125,1198.0,0.0738856163986712,14385,0.2412037730630386,0.2448237508699605,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.05,2,2,30489,16214.251953125,1198.0,0.0738856163986712,14385,0.2411173663737831,0.2450428244707155,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.05,3,3,30489,16214.251953125,1198.0,0.0738856163986712,14385,0.2405611909680149,0.244486517481735,30
ffn_small,ffn,0.1,1,1,61070,32402.3828125,2372.0,0.0732044928215879,1317,0.2345634033842046,0.2428385640176165,30
ffn_small,ffn,0.1,2,2,61070,32402.3828125,2372.0,0.0732044928215879,1317,0.235425745753922,0.2428317498876111,30
ffn_small,ffn,0.1,3,3,61070,32402.3828125,2372.0,0.0732044928215879,1317,0.2346935624629416,0.2427268492550549,30
glm,glm,0.1,1,1,61070,32402.3828125,2372.0,0.0732044928215879,110,0.2388001704214252,0.2431651073444774,30
glm,glm,0.1,2,2,61070,32402.3828125,2372.0,0.0732044928215879,110,0.2389587949805391,0.2431988966435393,29
glm,glm,0.1,3,3,61070,32402.3828125,2372.0,0.0732044928215879,110,0.2388609361366864,0.2433240318604219,30
tabm_mini_small,tabm_mini,0.1,1,1,61070,32402.3828125,2372.0,0.0732044928215879,14376,0.2370376871238488,0.2422726381482773,30
tabm_mini_small,tabm_mini,0.1,2,2,61070,32402.3828125,2372.0,0.0732044928215879,14376,0.2391014037769046,0.242946088554293,24
tabm_mini_small,tabm_mini,0.1,3,3,61070,32402.3828125,2372.0,0.0732044928215879,14376,0.2355770030808717,0.2424903941414677,30
transformer_multicls_small,transformer_multicls,0.1,1,1,61070,32402.3828125,2372.0,0.0732044928215879,14169,0.2328018065983873,0.2451838112153466,30
transformer_multicls_small,transformer_multicls,0.1,2,2,61070,32402.3828125,2372.0,0.0732044928215879,14169,0.2342797002080958,0.2486369924552974,30
transformer_multicls_small,transformer_multicls,0.1,3,3,61070,32402.3828125,2372.0,0.0732044928215879,14169,0.2375889481747746,0.2456788363335923,27
transformer_multicls_ssl_small,transformer_multicls_ssl,0.1,1,1,61070,32402.3828125,2372.0,0.0732044928215879,14385,0.2364008288424505,0.2448253238002357,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.1,2,2,61070,32402.3828125,2372.0,0.0732044928215879,14385,0.2362349456357104,0.2440898231761189,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.1,3,3,61070,32402.3828125,2372.0,0.0732044928215879,14385,0.2384669561813699,0.2437790424300919,30
ffn_small,ffn,0.25,1,1,152754,80747.984375,5894.0,0.0729925340628665,1317,0.236820916347722,0.2411215926287208,29
ffn_small,ffn,0.25,2,2,152754,80747.984375,5894.0,0.0729925340628665,1317,0.2358712431099519,0.2411230212818239,30
ffn_small,ffn,0.25,3,3,152754,80747.984375,5894.0,0.0729925340628665,1317,0.236045823863118,0.2415743336113342,30
glm,glm,0.25,1,1,152754,80747.984375,5894.0,0.0729925340628665,110,0.2383061906241214,0.2417912102941898,27
glm,glm,0.25,2,2,152754,80747.984375,5894.0,0.0729925340628665,110,0.2382938619433037,0.2419246910731282,28
glm,glm,0.25,3,3,152754,80747.984375,5894.0,0.0729925340628665,110,0.2382636198265056,0.2420046577186104,27
tabm_mini_small,tabm_mini,0.25,1,1,152754,80747.984375,5894.0,0.0729925340628665,14376,0.2362053739301005,0.2406698408592405,30
tabm_mini_small,tabm_mini,0.25,2,2,152754,80747.984375,5894.0,0.0729925340628665,14376,0.2377162411995698,0.241378441732816,23
tabm_mini_small,tabm_mini,0.25,3,3,152754,80747.984375,5894.0,0.0729925340628665,14376,0.2361280523139147,0.2409404756868801,28
transformer_multicls_small,transformer_multicls,0.25,1,1,152754,80747.984375,5894.0,0.0729925340628665,14169,0.2373783206630167,0.2410296770441071,24
transformer_multicls_small,transformer_multicls,0.25,2,2,152754,80747.984375,5894.0,0.0729925340628665,14169,0.236924804214606,0.2415917787638823,26
transformer_multicls_small,transformer_multicls,0.25,3,3,152754,80747.984375,5894.0,0.0729925340628665,14169,0.2368417230697055,0.241004605251398,25
transformer_multicls_ssl_small,transformer_multicls_ssl,0.25,1,1,152754,80747.984375,5894.0,0.0729925340628665,14385,0.2381870639528923,0.2419863568973437,26
transformer_multicls_ssl_small,transformer_multicls_ssl,0.25,2,2,152754,80747.984375,5894.0,0.0729925340628665,14385,0.2369229569295494,0.2417114329363243,30
transformer_multicls_ssl_small,transformer_multicls_ssl,0.25,3,3,152754,80747.984375,5894.0,0.0729925340628665,14385,0.2381770203343512,0.2419197657884212,26
ffn_small,ffn,0.5,1,1,305531,161343.9375,11921.0,0.073885639489863,1317,0.2391582534677627,0.2408156407727708,25
ffn_small,ffn,0.5,2,2,305531,161343.9375,11921.0,0.073885639489863,1317,0.238413143271421,0.2402878216466306,29
ffn_small,ffn,0.5,3,3,305531,161343.9375,11921.0,0.073885639489863,1317,0.2390250792659313,0.2409180548268953,25
glm,glm,0.5,1,1,305531,161343.9375,11921.0,0.073885639489863,110,0.2406571296551684,0.2417475815996294,25
glm,glm,0.5,2,2,305531,161343.9375,11921.0,0.073885639489863,110,0.2406178422285062,0.2417856537604741,30
glm,glm,0.5,3,3,305531,161343.9375,11921.0,0.073885639489863,110,0.2406168752253513,0.2418487930164143,30
tabm_mini_small,tabm_mini,0.5,1,1,305531,161343.9375,11921.0,0.073885639489863,14376,0.2393912467701726,0.2407980920256173,24
tabm_mini_small,tabm_mini,0.5,2,2,305531,161343.9375,11921.0,0.073885639489863,14376,0.2387154228256817,0.2404852422456724,26
tabm_mini_small,tabm_mini,0.5,3,3,305531,161343.9375,11921.0,0.073885639489863,14376,0.2398571488660311,0.2410910674332055,22
transformer_multicls_small,transformer_multicls,0.5,1,1,305531,161343.9375,11921.0,0.073885639489863,14169,0.2400069253619127,0.241484002556378,23
transformer_multicls_small,transformer_multicls,0.5,2,2,305531,161343.9375,11921.0,0.073885639489863,14169,0.2385213381543026,0.2417982034335399,30
